"Flow(s):","ODA Grants","","Amount:","Current Prices (USD millions)","","Type of Aid:","All Types, Total","","Sector(s):","STD control including HIV/AIDS","","Flow Type(s):","Disbursements","","Channels:","All Channels, Total","",

"","","Time Period","2014","2015","2016","2017",
"Donor(s)","Recipient(s)",
"Official Donors, Total","Indonesia","","46.772908","40.181509","40.075677","80.392084"
"Official Donors, Total","Iran","","7.015649","6.597988","4.084913","4.786986"
"Official Donors, Total","Iraq","","..","0.01022","0.029074","0.274437"
"Official Donors, Total","Israel","","..","..","..",".."
"Official Donors, Total","Jamaica","","5.024879","6.965693","9.745042","11.68033"
"Official Donors, Total","Jordan","","0.07245","..","..","0.015927"
"Official Donors, Total","Kazakhstan","","0.676641","4.55405","1.991447","2.688886"
"Official Donors, Total","Kenya","","504.732301","463.218492","537.540569","559.89675"
"Official Donors, Total","Kiribati","","..","..","..",".."
"Official Donors, Total","Korea","","..","..","..",".."
"Official Donors, Total","Kosovo","","1.326821","0.896914","0.848587","0.727726"
"Official Donors, Total","Kuwait","","..","..","..",".."
"Official Donors, Total","Kyrgyzstan","","6.335443","7.149148","3.208374","0.703965"
"Official Donors, Total","Lao People's Democratic Republic","","7.534799","5.840475","5.425875","4.501071"
"Official Donors, Total","Lebanon","","0.168166","0.187131","0.126154","0.044591"
"Official Donors, Total","Lesotho","","45.868545","41.395089","48.622271","64.564642"
"Official Donors, Total","Liberia","","7.198821","8.597657","8.172441","6.542837"
"Official Donors, Total","Libya","","0.028173","..","0.016248","0.002983"
"Official Donors, Total","Macau (China)","","..","..","..",".."
"Official Donors, Total","Madagascar","","3.73897","3.422489","6.112214","6.348344"
"Official Donors, Total","Malawi","","155.266952","154.733913","122.256784","122.046463"
"Official Donors, Total","Malaysia","","2.739557","1.132565","1.039609","0.591357"
"Official Donors, Total","Maldives","","0.035605","0.134029","0.037202","0.016437"
"Official Donors, Total","Mali","","32.201756","17.739614","23.681301","24.357142"
"Official Donors, Total","Malta","","..","..","..",".."
"Official Donors, Total","Marshall Islands","","0.984","0.004","..",".."
"Official Donors, Total","Mauritania","","1.304001","1.583362","2.128242","0.504883"
"Official Donors, Total","Mauritius","","1.848567","0.348982","0.469436","2.194398"
"Official Donors, Total","Mayotte","","..","..","..",".."
"Official Donors, Total","Mexico","","0.654037","0.085941","0.01804","0.019516"
"Official Donors, Total","Micronesia","","0.01768","..","..",".."
"Official Donors, Total","Moldova","","8.464787","0.811828","4.15874","4.248885"
"Official Donors, Total","Mongolia","","0.906945","2.178673","1.251507","1.792851"
"Official Donors, Total","Montenegro","","0.818732","..","..",".."
"Official Donors, Total","Montserrat","","..","..","..",".."
"Official Donors, Total","Morocco","","8.416033","1.878744","6.020766","4.704495"
"Official Donors, Total","Mozambique","","312.428945","210.71952","331.523175","402.008652"
"Official Donors, Total","Myanmar","","40.6021","26.925288","62.061537","61.440558"
"Official Donors, Total","Namibia","","78.756713","57.546445","63.315813","88.383541"
"Official Donors, Total","Nauru","","..","..","..",".."
"Official Donors, Total","Nepal","","12.289847","15.549698","12.318534","16.835428"
"Official Donors, Total","Netherlands Antilles","","..","..","..",".."
"Official Donors, Total","New Caledonia","","..","..","..",".."
"Official Donors, Total","Nicaragua","","5.678601","4.860716","12.320881","7.348053"
"Official Donors, Total","Niger","","4.213031","6.456266","4.749809","7.338256"
"Official Donors, Total","Nigeria","","404.469218","310.68122","323.844093","343.549243"
"Official Donors, Total","Niue","","..","0.005","..","0.005"
"Official Donors, Total","North Macedonia","","1.207295","3.001538","0.962362","0.740417"
"Official Donors, Total","Northern Mariana Islands","","..","..","..",".."
"Official Donors, Total","Oman","","..","..","..",".."
"Official Donors, Total","Pakistan","","8.034472","17.72161","10.651087","12.424219"
"Official Donors, Total","Palau","","..","..","..",".."
"Official Donors, Total","Panama","","0.968107","0.062103","0.004413","0.098346"
"Official Donors, Total","Papua New Guinea","","81.944956","47.803971","50.618009","20.013357"
"Official Donors, Total","Paraguay","","4.070305","2.796471","2.057823","2.1787"
"Official Donors, Total","Peru","","3.636694","1.154995","4.480885","3.962372"
"Official Donors, Total","Philippines","","3.180495","3.978549","3.185731","8.395678"
"Official Donors, Total","Qatar","","..","..","..",".."
"Official Donors, Total","Rwanda","","190.374802","118.507816","111.47344","115.695664"
"Official Donors, Total","Saint Helena","","..","..","..",".."
"Official Donors, Total","Saint Kitts and Nevis","","..","..","..",".."
"Official Donors, Total","Saint Lucia","","..","..","..",".."
"Official Donors, Total","Saint Vincent and the Grenadines","","..","..","..",".."
"Official Donors, Total","Samoa","","0.04479","0.015972","0.479818","0.018851"
"Official Donors, Total","Sao Tome and Principe","","0.631708","0.60556","0.421532","0.480453"
"Official Donors, Total","Saudi Arabia","","..","..","..",".."
"Official Donors, Total","Senegal","","15.215952","15.519855","12.586217","14.024465"
"Official Donors, Total","Serbia","","1.321562","0.01388","0.160083","0.07712"
"Official Donors, Total","Seychelles","","..","0.022002","0.026607","0.032936"
"Official Donors, Total","Sierra Leone","","17.743365","6.325249","14.053081","16.35443"
"Official Donors, Total","Singapore","","..","..","..",".."
"Official Donors, Total","Slovenia","","..","..","..",".."
"Official Donors, Total","Solomon Islands","","0.2","..","0.753242","0.016513"
"Official Donors, Total","Somalia","","5.995246","6.48518","8.384192","7.950505"
"Official Donors, Total","South Africa","","588.786498","336.188759","468.610393","529.703844"
"Official Donors, Total","South Sudan","","15.987497","26.858177","14.770674","38.959556"
"Official Donors, Total","Sri Lanka","","1.214529","0.294209","2.24937","2.545432"
"Official Donors, Total","States Ex-Yugoslavia unspecified","","..","..","..",".."
"Official Donors, Total","Sudan","","11.817648","5.812004","12.598668","4.353959"
"Official Donors, Total","Suriname","","0.009084","1.237357","0.019428","0.039844"
"Official Donors, Total","Syrian Arab Republic","","1.322174","0.027195","0.579467",".."
"Official Donors, Total","Tajikistan","","5.502809","5.235473","8.068047","8.401546"
"Official Donors, Total","Tanzania","","442.724913","269.912218","436.711415","482.209483"
"Official Donors, Total","Thailand","","25.536809","2.237107","1.752862","1.217359"
"Official Donors, Total","Timor-Leste","","3.561806","0.776545","1.152419","1.599702"
"Official Donors, Total","Togo","","12.45173","8.722107","1.905168","15.131634"
"Official Donors, Total","Tokelau","","..","0.004376","0.003",".."
"Official Donors, Total","Tonga","","..","0.00195","0.01",".."
"Official Donors, Total","Trinidad and Tobago","","..","..","..",".."
"Official Donors, Total","Tunisia","","1.26134","0.698986","0.738944","2.950757"
"Official Donors, Total","Turkey","","0.012048","0.29995","0.012362","0.056781"
"Official Donors, Total","Turkmenistan","","0.220199","0.378665","0.240279","0.01307"
"Official Donors, Total","Turks and Caicos Islands","","..","..","..",".."
"Official Donors, Total","Tuvalu","","..","..","..",".."
"Official Donors, Total","Uganda","","317.864189","300.708205","387.837311","389.226207"
"Official Donors, Total","Ukraine","","52.553186","25.973763","22.998513","32.575319"
"Official Donors, Total","United Arab Emirates","","..","..","..",".."
"Official Donors, Total","Uruguay","","0.429276","0.050371","0.034255","0.013343"
"Official Donors, Total","Uzbekistan","","7.814539","4.16588","9.30242","9.117009"
"Official Donors, Total","Vanuatu","","..","..","0.00564","0.004094"
"Official Donors, Total","Venezuela","","0.214313","0.321734","0.056592","0.265358"
"Official Donors, Total","Viet Nam","","59.465649","47.92531","55.012427","64.852293"
"Official Donors, Total","Wallis and Futuna","","..","..","..",".."
"Official Donors, Total","West Bank and Gaza Strip","","0.068098","0.785523","0.004019","0.084249"
"Official Donors, Total","Yemen","","0.607334","0.627298","0.396819","0.206131"
"Official Donors, Total","Zambia","","307.249518","161.97049","219.927869","305.847276"
"Official Donors, Total","Zimbabwe","","175.797111","263.38615","200.257465","214.137127"
"Official Donors, Total","Africa, regional","","17.778668","18.369461","25.219293","30.327757"
"Official Donors, Total","North of Sahara, regional","","..","0.000114","..","1.0074"
"Official Donors, Total","South of Sahara, regional","","63.160881","54.246439","50.749352","28.066857"
"Official Donors, Total","America, regional","","9.137769","3.661441","3.213612","6.478064"
"Official Donors, Total","Caribbean & Central America, regional","","16.456145","14.603506","14.001642","14.18196"
"Official Donors, Total","South America, regional","","2.030672","3.1249","4.610529","2.827982"
"Official Donors, Total","Asia, regional","","13.888902","13.814361","14.930871","14.119639"
"Official Donors, Total","Far East Asia, regional","","8.453912","7.119289","12.088282","8.902608"
"Official Donors, Total","Central Asia, regional","","11.92793","8.0142","11.634083","14.422847"
"Official Donors, Total","South Asia, regional","","2.840795","3.437686","6.146565","6.194553"
"Official Donors, Total","South & Central Asia, regional","","1.106025","0.973287","..","0.05"
"Official Donors, Total","Europe, regional","","3.910336","7.549351","4.12799","5.822624"
"Official Donors, Total","Middle East, regional","","2.222697","4.938864","3.519083","1.939999"
"Official Donors, Total","Oceania, regional","","2.823248","0.898824","0.341615","0.082658"
"Official Donors, Total","Eastern Africa, regional","","..","..","..",".."
"Official Donors, Total","Middle Africa, regional","","..","..","..",".."
"Official Donors, Total","Southern Africa, regional","","..","..","..",".."
"Official Donors, Total","Western Africa, regional","","..","..","..",".."
"Official Donors, Total","Caribbean, regional","","20.39163","23.206946","17.861205","21.995595"
"Official Donors, Total","Central America, regional","","..","..","..",".."
"Official Donors, Total","Melanesia, regional","","..","..","..",".."
"Official Donors, Total","Micronesia, regional","","..","..","..",".."
"Official Donors, Total","Polynesia, regional","","..","..","..",".."
"Official Donors, Total","Developing countries, unspecified","","1491.07429","1799.534837","1733.753372","2151.170229"
