"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1087875.7","12264016.6","1300000","130502793.296089","184748603.351955","-36983240.2234637","-17932960.8938547","-73184357.5418994","-5530726.25698324","85027932.9608939","197821229.050279","113463687.150838","467541899.441341","-127932960.893855","-266927374.301676","332513966.480447","159776536.312849","-105698324.022346","-207798005.868163","220316139.723839","-471005586.592179","18882681.5642458","-10614525.1396648","186759776.536313","488156424.581006","-314692737.430168","226371388.826816","250618094.972067","-28775856.424581","27551267.6251579","162463551.517038","135921173.407329","-75226540.6843182","143116090.056388","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","421709865.6","326490932.4","218888245.7","176559138.71","898515563.33944","316834707.280156","411261082.713661","67103622.181923","168439069.534013","-12312370.2354044","483620276.464599","372130053.332138","581698643.395738","86246455.0162176","598858245.285658","106432296.255464","411045300.703155","279804684.253772","536594623.832505","400488555.909831","88673056.8135137","1241968645.57255","652324976.317141","839509681.785947","1187864680.17484","2662958896.26387","2087426790.37505","5757027922.5158","4121573935.1936","6254803630.58533","4315007316.09714","12205013826.7179","6464121932.6928","8555149192.20714","7979691821.36791","10333884246.5645","7234542919.62867","16122295356.625","22483229907.2115","18484266803.809","13934880233.3035","17538697878.7749","24636336183.865","21534243340.2906","27681416018.2041","28774225014.3153","16842050894.0773","9955492706.16464","14449631529.95","14684836450.5325","12913412761.4757","",
"Afghanistan","AFG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","230000","450000","150000","270000","","","40000","-240000","","1200000","9000000","180000","100000","0","0","0","0","400000","0","0","10","-280000","360000","-20000","20000","-93326.6","690000","-1460000","-10000","6040000","170000","680000","50000000","57799999.9","186900000","271000000","238000000","188690000","46033740","56107246.5","190774431.98","52173421","56823660","48311346","42975262.5","169146608","93591315.3","51533896.765","119435105.715177","23404553.647249","12970147.9832","",
"Africa Western and Central","AFW","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","407459999.6","388679999.7","476659999","642409999.5","518269117.686841","969105150.470566","605378805.497151","778790474.853075","751399198.553945","785673507.757542","-228089204.802763","1172896062.16749","878530340.393694","768217164.303354","338951391.008596","893620026.79566","204429670.558956","1037919132.48478","973621876.651453","2569136447.72938","1073307823.62589","837652709.306607","1214631404.05396","1757936795.50148","2389930550.70975","945428066.172441","1182474450.18205","1622432324.64235","1897977339.22955","2391072130.11009","2560188711.66033","3224274418.827","4407637343.68583","5261510987.4683","4653437666.54501","9277747003.78708","9200902070.04573","13028503359.5866","16308512123.3668","18152376750.0199","18872476734.8507","24500018445.12","20912706088.2187","19156931890.9006","16593990870.7225","15641341151.9064","13936765398.2635","17661035768.2374","15501756263.2497","17088454914.3592","17236343035.0892","",
"Angola","AGO","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","2399999.9","1860000","2160000","7540000","6690000","50000","-1169999.9","","1870000","2000000","37420000","49049999.9","115810000","104330000","67140000","278000000","234000000","119000000","131000000","200000000","-334800000","664500000","287956000","302100000","170300000","472427000","180559000","411660000","1113970000","2471460000","878620000","2145470000","1743504000","3576971780","2197227820","-1303836930","-37714860","-893342152","1678971010","2205298180","-3227211182.45","-3023770965.83688","-1464627990.88284","-7120017424.4614","3657514667.49327","10028215162.6394","-179517618.92","-7397295409.18991","-6456076413.12033","-4098478747.63755","-1866468113.07454","",
"Albania","ALB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","20000000","58000000","53000000","70000000","90100000","47500000","45010000","41200000","143000000","207300000","135000000","178036400.666667","341285112.537562","262479012.637464","325138316.803697","652275603.722803","1247181714.30558","1345415233.65622","1089898207.57431","1048706682.05458","917994575.801863","1254150555.51294","1149927985.77737","989578334.828609","1044389554.85795","1022757857.07377","1204383363.60476","1201022154.46645","1069744879.65452","",
"Andorra","AND","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","489809999.8","47852734.621803","267977643.702819","-691490283.776953","-3399182606.66216","1474964060.39274","406538235.221491","924430386.842686","638527390.915861","-137420541.860675","-3211683186.33158","7107307475.33002","11797986204.3714","5637820865.74215","6253971511.46118","2022484766.22151","2333917876.22081","12216556.7856191","1628746427.10903","1312830828.2652","3053835681.97421","2123621590.75693","3477597028.59316","4331542878.48317","4909888143.90083","299885485.875065","3662695408.91061","8973444816.9066","9641399373.69395","2881569838.5819","3840491004.48041","8899597181.51731","6159576371.28564","14595559434.3752","21373075474.4873","46048851175.0481","69481323910.097","81836608641.0476","88751312330.1171","76654497097.9896","70001315696.5016","44868032639.754","50079903885.9308","41259115294.9232","31042743759.6946","25507493631.2524","32582348457.855","30063429264.3078","33766670546.9968","38979383399.6947","38174910771.3803","",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","7780000","6940000","10510000","3410000","1629999.9","15949999.9","49430000","112239999.9","39119999.9","64579999.9","97640000","-16940000","95060000","45539999.9","170240000","-220960000","110209999.9","46719999.9","188889999.9","38789999.9","-115819999.9","25940000","129720000","401319999.9","62460000","399850000","300519999.9","232430000","257660000","-985340000","-506329999.9","1183840000","95299999.9","4255956433","10003500000","10899931930","12805990470","14186521440","5062972005","1134288135","8796769641","7152095826","9566651351","9764914527","11071537020","8550901847","9604773000","10354223000","10385286000","17874659400","19884468660","",
"Argentina","ARG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","89769999.9","125670000","71719999.9","100250000","17920000","55590000","244680000","144000000","250000000","206000000","678000000","837000000","227000000","185000000","268000000","919000000","574000000","-19000000","1147000000","1028000000","1836000000","2439000000","4430977523.08014","2793085410.09827","3634931878.26435","5609423403.56467","6948536686.64725","9160272052.4446","7290657132.08156","23987696389.6428","10418314339.1428","2166136829.76399","2148910000","1652010000","4124710000","5265250000","5537347786.19331","6473157762.12915","9725553129.52469","4017158924.88408","11332718626.4345","10839930944.6815","15323933916.8241","9821661858.15874","5065335541.96486","11758994011.286","3260164341.77393","11516861462.2845","11716769818.7543","6663062111.95629","4019052252.68254","",
"Armenia","ARM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2399999.9","800000","8000000","25320000","17570000","51940000","232375000","122034000","104188500","69868500","110725325.614409","122852992.703235","247140608.495888","292073220.164722","466531991.901724","667671562.134495","943733059.483284","760040745.87233","529321391.641959","653219756.47225","496636701.129687","346092394.393256","406578406.693112","184127986.314895","333733314.104601","250935110.239139","266824955.528034","100946084.083517","47183579.9554607","",
"American Samoa","ASM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","2200000","-6900000","8500000","19600000","22400000","23000000","5000000","4400000","15600000","22600000","38596296.2962963","32951851.8518519","43107407.4074074","60607407.4074074","54792592.5925926","19648148.1481481","15240740.7407407","24788888.8888889","31485185.1851852","19351851.8518519","22944444.4444444","22774074.0740741","51792533.3333333","43115925.9259259","98452222.2222222","65865064.8148148","166321143.703704","80366585.1851852","220963374.074074","358820163.703704","338204733.333333","158783774.444445","80646652.5925926","96679207.7777778","65160596.2962963","129367138.888889","134288999.62963","46263101.049287","114024660.121814","97431976.4735789","151271628.230867","204844928.240792","127763174.829855","73527540.3177174","",
"Australia","AUS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","893138535.5","1155158059","1054014675","135039666.1","1327729912","449028697.2","1047313647","1141019599","1676855615","1489983133","1866223965","2346546543","2286321730","2990964045","428250491.4","2098624894","5369760089","5190522203","8476377245","8023170406.83781","8457776859.55028","2612066526.44483","4941906671.70674","5312435141.58877","4458484243.65442","13268875155.4923","4563952446.39275","8088068982.50254","7597610928.17343","2210917991.82997","14892978180.1828","10717133150.6924","14656321800.5386","8985246029.5004","42907672820.3756","-25093141435.1896","30551100656.5983","44440090037.7723","45160024270.9395","28683266147.8801","35210733743.0829","65554890649.5348","57550426822.6138","54465480054.6771","63202728079.4529","46892808567.8516","42969505135.1666","48198614234.959","61324623202.6662","39101199005.419","19638894546.1265","",
